explanations,type,optional,name,block_order,item_order,showif,label,choice1,choice2
,"rating_button 1,7,1",,sa1sa6,sa1,2,condition == 6,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,submit,,p2_submit_6,,,,Next Question,,
,note,,prompt_li16,li1,1,condition == 6,"James is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1fa6,li1,2,condition == 6,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au6,li1,2,condition == 6,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo6,li1,2,condition == 6,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po6,li1,2,condition == 6,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li6,li1,2,condition == 6,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca6,li1,2,condition == 6,...spanks his child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa6,li1,2,condition == 6,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,submit,,p3_submit_6,,,,Next Question,,
,note,,attention_check_instructions_6,,,condition == 6,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_6,,,condition == 6,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_6,,,condition == 6,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_6,,,condition == 6,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_6,,,condition == 6,...disobeys her boss; nothing bad happens as a result of her disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_6,,,condition == 6,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_6,,,condition == 6,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_6,,,condition == 6,...bribes her landlord to be the first to get her apartment repainted?,Very Unlikely,Very Likely
,submit,,attention_submit_6,,,condition == 6,Next Question,,
,note,,prompt_pr17,pr1,1,condition == 7,"Steven skips to the front of the line because his friend is an employee. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1ca7,pr1,2,condition == 7,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li7,pr1,2,condition == 7,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa7,pr1,2,condition == 7,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po7,pr1,2,condition == 7,...ignores his personal hygiene and mental health in order to devote more time to his career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au7,pr1,2,condition == 7,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo7,pr1,2,condition == 7,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa7,pr1,2,condition == 7,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,submit,,p1_submit_7,,,,Next Question,,
,note,,prompt_sa17,sa1,1,condition == 7,"Maria looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1ca7,sa1,2,condition == 7,...makes fun of her brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au7,sa1,2,condition == 7,"...takes her father's car out after curfew, against his wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1sa7,sa1,2,condition == 7,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po7,sa1,2,condition == 7,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa7,sa1,2,condition == 7,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li7,sa1,2,condition == 7,...pressures her daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo7,sa1,2,condition == 7,"...sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation?",Very Unlikely,Very Likely
,submit,,p2_submit_7,,,,Next Question,,
,note,,prompt_li17,li1,1,condition == 7,"James is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1li7,li1,2,condition == 7,...pressures his daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po7,li1,2,condition == 7,...ignores his personal hygiene and mental health in order to devote more time to his career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca7,li1,2,condition == 7,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au7,li1,2,condition == 7,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa7,li1,2,condition == 7,"...requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo7,li1,2,condition == 7,...cheats on his spouse with an ex-lover; his spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa7,li1,2,condition == 7,...looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13?,Very Unlikely,Very Likely
,submit,,p3_submit_7,,,,Next Question,,
,note,,attention_check_instructions_7,,,condition == 7,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_7,,,condition == 7,"...sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_7,,,condition == 7,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_7,,,condition == 7,...jokes about the stupidity of people from her home country?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_7,,,condition == 7,"...takes her father's car out after curfew, against his wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_7,,,condition == 7,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_7,,,condition == 7,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_7,,,condition == 7,...tells her fiance that he has to switch to her political party?,Very Unlikely,Very Likely
,submit,,attention_submit_7,,,condition == 7,Next Question,,
,note,,prompt_pr18,pr1,1,condition == 8,"Steven bribes his landlord to be the first to get his apartment repainted. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1li8,pr1,2,condition == 8,...tells his romantic partner that she must convert to his religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo8,pr1,2,condition == 8,...jokes about the stupidity of people from his home country?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa8,pr1,2,condition == 8,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po8,pr1,2,condition == 8,...ignores his personal hygiene and mental health in order to devote more time to his career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca8,pr1,2,condition == 8,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa8,pr1,2,condition == 8,"...hires his nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au8,pr1,2,condition == 8,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,submit,,p1_submit_8,,,,Next Question,,
,note,,prompt_sa18,sa1,1,condition == 8,"Maria searches through the trash to find women's discarded underwear. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1au8,sa1,2,condition == 8,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1sa8,sa1,2,condition == 8,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa8,sa1,2,condition == 8,...bribes her landlord to be the first to get her apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li8,sa1,2,condition == 8,...tells her fiance that he has to switch to her political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po8,sa1,2,condition == 8,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca8,sa1,2,condition == 8,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo8,sa1,2,condition == 8,...jokes about the stupidity of people from her home country?,Very Unlikely,Very Likely
,submit,,p2_submit_8,,,,Next Question,,
,note,,prompt_li18,li1,1,condition == 8,"James is the leader of a club and bans members from wearing bright colors during club meetings. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1au8,li1,2,condition == 8,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca8,li1,2,condition == 8,...makes fun of his brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo8,li1,2,condition == 8,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po8,li1,2,condition == 8,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li8,li1,2,condition == 8,...tells his romantic partner that she must convert to his religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa8,li1,2,condition == 8,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa8,li1,2,condition == 8,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,submit,,p3_submit_8,,,,Next Question,,
,note,,attention_check_instructions_8,,,condition == 8,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_8,,,condition == 8,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_8,,,condition == 8,...cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_8,,,condition == 8,...pressures her daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_8,,,condition == 8,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_8,,,condition == 8,...looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_8,,,condition == 8,...eats a T-bone steak with her hands in a fancy restaurant?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_8,,,condition == 8,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,submit,,attention_submit_8,,,condition == 8,Next Question,,
,note,,prompt_pr19,pr1,1,condition == 9,"Steven leaves his family business to go work for their main competitor. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1po9,pr1,2,condition == 9,...ignores his personal hygiene and mental health in order to devote more time to his career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca9,pr1,2,condition == 9,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa9,pr1,2,condition == 9,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au9,pr1,2,condition == 9,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li9,pr1,2,condition == 9,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa9,pr1,2,condition == 9,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo9,pr1,2,condition == 9,...cheats on his spouse with an ex-lover; his spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,submit,,p1_submit_9,,,,Next Question,,
,note,,prompt_sa19,sa1,1,condition == 9,"Maria writes erotic poetry about her pet cat. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1po9,sa1,2,condition == 9,...tries to change the subject of conversation in the middle of her friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa9,sa1,2,condition == 9,"...requires all her employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1sa9,sa1,2,condition == 9,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li9,sa1,2,condition == 9,...pressures her daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo9,sa1,2,condition == 9,"...sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au9,sa1,2,condition == 9,"...takes her father's car out after curfew, against his wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca9,sa1,2,condition == 9,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,submit,,p2_submit_9,,,,Next Question,,
,note,,prompt_li19,li1,1,condition == 9,"James is the leader of a club and bans members from wearing bright colors during club meetings. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1au9,li1,2,condition == 9,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa9,li1,2,condition == 9,"...requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po9,li1,2,condition == 9,...goes to a birthday party for his friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca9,li1,2,condition == 9,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa9,li1,2,condition == 9,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li9,li1,2,condition == 9,...tells his romantic partner that she must convert to his religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo9,li1,2,condition == 9,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,submit,,p3_submit_9,,,,Next Question,,
,note,,attention_check_instructions_9,,,condition == 9,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_9,,,condition == 9,...makes fun of her brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_9,,,condition == 9,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_9,,,condition == 9,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_9,,,condition == 9,...eats a T-bone steak with her hands in a fancy restaurant?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_9,,,condition == 9,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_9,,,condition == 9,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_9,,,condition == 9,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,submit,,attention_submit_9,,,condition == 9,Next Question,,
,note,,prompt_pr110,pr1,1,condition == 10,"Steven plays music through his headphones so loudly that other passengers can hear it while on a bus. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1sa10,pr1,2,condition == 10,...writes erotic poetry about his pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa10,pr1,2,condition == 10,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca10,pr1,2,condition == 10,...spanks his child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po10,pr1,2,condition == 10,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au10,pr1,2,condition == 10,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li10,pr1,2,condition == 10,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo10,pr1,2,condition == 10,...shares a secret that his best friend entrusted to him; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,submit,,p1_submit_10,,,,Next Question,,
,note,,prompt_sa110,sa1,1,condition == 10,"Maria eats the flesh of a deceased relative as part of a group funeral rite. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1li10,sa1,2,condition == 10,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo10,sa1,2,condition == 10,"...sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa10,sa1,2,condition == 10,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1sa10,sa1,2,condition == 10,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po10,sa1,2,condition == 10,...ignores her personal hygiene and mental health in order to devote more time to her career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au10,sa1,2,condition == 10,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca10,sa1,2,condition == 10,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,submit,,p2_submit_10,,,,Next Question,,
,note,,prompt_li110,li1,1,condition == 10,"James pressures his daughter to become a famous evening news anchor. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1sa10,li1,2,condition == 10,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo10,li1,2,condition == 10,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa10,li1,2,condition == 10,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au10,li1,2,condition == 10,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca10,li1,2,condition == 10,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po10,li1,2,condition == 10,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li10,li1,2,condition == 10,...imposes a curfew on all members of his immediate family?,Very Unlikely,Very Likely
,submit,,p3_submit_10,,,,Next Question,,
,note,,attention_check_instructions_10,,,condition == 10,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_10,,,condition == 10,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_10,,,condition == 10,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_10,,,condition == 10,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_10,,,condition == 10,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_10,,,condition == 10,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_10,,,condition == 10,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_10,,,condition == 10,...marries her first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,submit,,attention_submit_10,,,condition == 10,Next Question,,
,note,,feedback_instructions,,,,"Thank you for your participation in this experiment! If there is anything you found confusing about the experiment, please make a note about it below. This section is optional. ",,
,text 500,*,feedback_text,,,,,,
,submit,,survey_submit,,,,Submit Responses,,
